,LAcode,LAname,objectid,all_categories,from_home,underground_metro _light_rail_tram,Train,bus_minibus_or_coach,taxi,motorcycle_or_scooter,driving_a_car_or _a_van,passeneger_a_car_or _a_van,bicycle,on_foot,other,not_in_employment,health_all_categories,very_good_health,good_health,fair_health,bad_health,very_bad_health
61,E08000006,Salford,62,173117,7987,2205,1953,11786,1154,612,57767,6601,2491,13850,498,66213,233933,107689,75685,32849,13741,3969
62,E08000007,Stockport,63,205310,13362,220,6781,10988,412,754,84858,5839,2756,10637,523,68180,283275,135500,94251,37601,12505,3418
63,E08000008,Tameside,64,161459,7651,173,3470,11143,543,675,61044,5893,1401,9519,380,59567,219324,96404,73918,33009,12492,3501
64,E08000009,Trafford,65,162806,11166,5490,1511,7479,560,495,66954,5030,3393,8338,496,51894,226578,115496,71694,27549,9273,2566
65,E08000010,Wigan,66,236495,10864,78,3274,8516,755,1137,99323,9757,2354,13301,549,86587,317849,144283,103934,46797,18112,4723
66,E08000011,Knowsley,67,106155,3531,162,3448,6806,1195,275,34717,4682,962,5569,344,44464,145893,67153,43505,21420,10631,3184
67,E08000012,Liverpool,68,356876,12180,1081,9707,38027,2574,780,91570,11587,3970,23991,1163,160246,466415,217977,142132,65422,31162,9722
68,E08000013,St. Helens,69,129584,5347,33,2355,4862,621,491,51899,5352,1092,6231,297,51004,175308,78620,55983,26198,11364,3143
69,E08000014,Sefton,70,198197,10137,512,8871,8404,1530,599,69071,7262,3176,11561,796,76278,273790,124069,89115,40620,15549,4437
70,E08000015,Wirral,71,230851,11602,1355,8249,9929,907,1273,83682,8351,2275,11193,1113,90922,319783,148028,102085,45687,18448,5535
71,E08000016,Barnsley,72,170405,7945,115,2037,6467,455,823,67465,7487,712,9700,373,66826,231221,96194,77649,37956,15278,4144
72,E08000017,Doncaster,73,220877,11055,114,2827,9961,774,816,82346,9972,3227,12214,509,87062,302402,131738,102983,45748,16982,4951
73,E08000018,Rotherham,74,187959,8748,450,1232,9759,619,674,75360,8132,987,8542,368,73088,257280,111232,87237,39278,15114,4419
74,E08000019,Sheffield,75,411004,18553,8186,3956,34061,1147,1348,128899,13464,4267,29288,1149,166686,552698,258250,184343,75733,26703,7669
75,E08000021,Newcastle upon Tyne,76,212864,8430,6304,1381,21728,1037,345,54165,6706,3223,15302,714,93529,280177,133933,89096,38018,14793,4337
76,E08000022,North Tyneside,77,147889,6997,8523,1385,8606,748,471,52543,5951,2345,7559,898,51863,200801,90031,66955,30156,10638,3021
77,E08000023,South Tyneside,78,108981,3875,5681,1090,6194,303,341,35011,3774,1396,5749,1208,44359,148127,63345,48861,23700,9394,2827
78,E08000024,Sunderland,79,205552,7705,2762,894,15151,740,520,70607,9356,1588,11310,878,84041,275506,117365,90557,43951,18155,5478
79,E08000025,Birmingham,80,760252,32837,1327,19222,71361,2791,1938,223632,22116,6458,40042,1967,336561,1073045,488568,363904,148782,54105,17686
80,E08000026,Coventry,81,231871,10043,130,2864,14912,708,843,77965,10766,3594,15042,693,94311,316960,145948,109815,42006,14765,4426
81,E08000027,Dudley,82,226726,10956,195,4102,10188,422,1216,94090,8057,1723,10645,404,84728,312925,132825,111905,47828,15918,4449
82,E08000028,Sandwell,83,219508,7840,1607,3573,17905,719,826,73872,8850,1996,10936,506,90878,308063,129182,107081,48087,18171,5542
83,E08000029,Solihull,84,148360,9989,165,5116,7836,321,484,62325,4516,1341,5516,332,50419,206674,98197,70683,27056,8241,2497
84,E08000030,Walsall,85,191974,8150,396,1530,11286,572,680,70793,7275,1747,9460,381,79704,269323,113525,94650,41653,14968,4527
85,E08000031,Wolverhampton,86,179983,7229,1562,2819,11692,690,638,60420,6767,2170,9870,427,75699,249470,104263,88168,39096,13796,4147
86,E08000032,Bradford,87,366217,19312,261,10909,19595,2502,1027,124104,15300,1681,23175,1071,147280,522452,234133,186031,71580,23768,6940
87,E08000033,Calderdale,88,148766,9506,80,3139,8075,498,605,57705,6044,877,9763,353,52121,203826,94449,70007,28091,8929,2350
88,E08000034,Kirklees,89,307194,17716,151,5281,14890,1672,1256,118836,12264,1791,17802,738,114797,422458,192366,147731,58042,19030,5289
